t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775087048.0712,1500,1500,1825,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.0911,1500,1500,1829,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.1111,1500,1500,1834,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.1311,1500,1500,1835,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.1512,1500,1500,1836,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.1712,1500,1500,1836,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.1911,1500,1500,1834,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.2162,1500,1500,1832,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.2314,1500,1500,1832,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.2513,1500,1500,1832,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.2712,1500,1500,1832,1500,1939,1939,1500,1500,20.72772433,-103.56685667,283.09,rc
1775087048.2912,1500,1500,1832,1500,1939,1939,1500,1500,20.727725,-103.56685967,282.24,rc
1775087048.3112,1500,1500,1833,1500,1939,1939,1500,1500,20.727725,-103.56685967,282.24,rc
1775087048.3312,1500,1500,1833,1500,1939,1939,1500,1500,20.727725,-103.56685967,282.24,rc
1775087048.3512,1500,1500,1833,1500,1939,1939,1500,1500,20.727725,-103.56685967,282.24,rc
1775087048.3711,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.3912,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.4163,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.4312,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.4513,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.4712,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.4912,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.5112,1500,1500,1833,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
1775087048.5312,1500,1500,1832,1500,1939,1939,1500,1500,20.72772517,-103.5668605,282.25,rc
