time_s,lat,lon,heading_deg,gps_speed_mps,turn_rate_dps,fix_quality,num_sats,hdop,throttle_ppm,steering_ppm,ch3_ppm,ch4_ppm,ch5_ppm,ch6_ppm,ch7_ppm,ch8_ppm,mode
5.450,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.500,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.550,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.600,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.650,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.700,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.750,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.800,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.850,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
5.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.300,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.350,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.400,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.450,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.500,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.550,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.600,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.650,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.700,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.750,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.800,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.850,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
6.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.300,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.350,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.400,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.450,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.500,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.550,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.600,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.650,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.700,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.750,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.800,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.850,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
7.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.300,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.350,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.400,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.450,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.500,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.550,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.600,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.650,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.700,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.750,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.800,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.850,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.900,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
8.950,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
9.000,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
9.050,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
9.100,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
9.150,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
9.200,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
9.250,20.7276986667,-103.5668016667,293.43,0.0000,0.00,0,0,99.9,1500,1500,1500,1500,1939,1939,1500,1939,MANUAL
