t,ppm_throttle,ppm_steer,ppm_ch3,ppm_ch4,ppm_ch5,ppm_ch6,ppm_ch7,ppm_ch8,lat,lon,heading,source
1775092550.5965,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.6164,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.6363,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.6564,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.6764,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.6965,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.7164,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.7365,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.7562,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.7762,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.7962,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.8162,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.8362,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.8562,1500,1500,1696,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.8763,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.8962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.9162,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.9365,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.9562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.9761,1500,1500,1697,1500,1939,1939,1500,1500,20.72772433,-103.56684833,277.11,rc
1775092550.9964,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.0161,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.0362,1500,1500,1698,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.0564,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.0763,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.0962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.1163,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.1365,1500,1500,1697,1500,1939,1939,1500,1500,20.72772483,-103.56685183,276.87,rc
1775092551.1564,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.1761,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.1962,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.2161,1500,1500,1698,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.2361,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.2561,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.2765,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.2963,1500,1500,1697,1500,1939,1939,1500,1500,20.727725,-103.56685283,276.57,rc
1775092551.3162,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685367,276.1,rc
1775092551.3364,1500,1500,1696,1500,1939,1939,1500,1500,20.72772517,-103.56685367,276.1,rc
1775092551.3561,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685367,276.1,rc
1775092551.3764,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685367,276.1,rc
1775092551.3962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685367,276.1,rc
1775092551.4161,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685367,276.1,rc
1775092551.4364,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685417,276.26,rc
1775092551.4561,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685417,276.26,rc
1775092551.4762,1500,1500,1696,1500,1939,1939,1500,1500,20.72772517,-103.56685417,276.26,rc
1775092551.496,1500,1500,1696,1500,1939,1939,1500,1500,20.72772517,-103.56685417,276.26,rc
1775092551.5161,1500,1500,1697,1500,1939,1939,1500,1500,20.72772517,-103.56685417,276.26,rc
1775092551.5363,1500,1500,1696,1500,1939,1939,1500,1500,20.72772517,-103.56685417,276.26,rc
1775092551.5562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.5764,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.5963,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.6163,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.6365,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.6564,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.6764,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.6963,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.7165,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.7365,1500,1500,1696,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.7561,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.7761,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.7962,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.8161,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.8363,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.8562,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.8761,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.8961,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.9162,1500,1500,1697,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.9365,1500,1500,1698,1500,1939,1939,1500,1500,20.72772533,-103.566855,275.85,rc
1775092551.9565,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092551.9764,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092551.9962,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
1775092552.0161,1500,1500,1697,1500,1939,1939,1500,1500,20.7277255,-103.56685717,276.18,rc
